MainIsland,Region,Province,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectId,ProjectName,TypeOfWork,FundingYear,ContractId,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,Contractor,ContractorCount,StartDate,ProjectLatitude,ProjectLongitude,ProvincialCapital,ProvincialCapitalLatitude,ProvincialCapitalLongitude
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00526268LZ,"Construction of Poblacion Flood Control Structure along Apayao River, Sta. 136 + 247.68 - Sta. 136 + 752.68 (L/S), Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0018,96500000,92692943.8,2022-10-03,ASC CONSTRUCTION & CONCRETE PRODUCTS,1,2021-03-18,18.25091,121.04757,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00526368LZ,"Construction of Cabicungan Flood Control Structure, Sta. 13 + 580 - Sta. 13 + 605 (L/S), Sta 13+180-Sta 13+280 (L/S), Sta 13+460-Sta 13+510 (R/S), Sta 13+230-Sta 13+430 (R/S), Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0019,49000000,47521251.3,2022-11-24,ASC CONSTRUCTION & CONCRETE PRODUCTS,1,2021-12-01,18.5118,121.07829,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00526369LZ,"Construction of Sipa-San Mariano Flood Control Structure along Apayao River, Sta. 25 + 380 - Sta. 25 + 700 (L/S), Sta. Marcela, Apayao",Construction of Flood Mitigation Structure,2021,21PC0010,47423180,45942583.67,2022-11-28,ASC CONSTRUCTION & CONCRETE PRODUCTS,1,2021-12-01,18.27023,121.42022,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00561270LZ,"Construction of Sta. Filomena Floodway/ Flood Control Structure, Sta. Filomena, Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0067,9900000,9900000,2022-12-15,ASC CONSTRUCTION & CONCRETE PRODUCTS,1,2021-12-01,18.53566,121.0802,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 2nd District Engineering Office,P00561652LZ,"Construction of Sinigpit Flood Control, Calanasan, Apayao",Construction of Flood Mitigation Structure,2021,21PC0034,4950000,4950000,2022-09-23,ALEPHNORTH PEAK CONSTRUCTION AND DEVELOPMENT CO.,1,2021-12-01,18.52723,121.096812,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 1st District Engineering Office,P00526367LZ,"Construction of Nabuangan River (Upstream) Flood Control, Sta. 37 + 807 - Sta. 38 + 267 (L/S), Sitio Paddig, Brgy. Caglayan, Conner, Apayao",Construction of Flood Mitigation Structure,2021,21PB0004,39199819.73,38292917.46,2022-09-24,ASC CONSTRUCTION & CONCRETE PRODUCTS,1,2021-12-02,17.8,121.3158333,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),,Apayao 1st District Engineering Office,P00526270LZ,"Construction of Nabuangan (Upstream) Flood Control, Sta. 38 + 997 - Sta. 39 + 447 (B/S), Brgy. Caglayan, Conner, Apayao",Construction of Flood Mitigation Structure,2021,21PB0013,82914680,80309010.27,2023-04-14,ASC CONSTRUCTION & CONCRETE PRODUCTS,1,2021-12-22,17.800278,121.308889,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00620988LZ,"Construction of Barren River (Upstream) Flood Control Structure, Sta. 39 + 693 - Sta. 39 + 993 (L/S), Brgy. Ili, Conner, Apayao",Construction of Flood Mitigation Structure,2022,22PB0005,23519997.48,22928490.31,2022-11-02,PRIME MASTER CONST. AND DEV'T. CORP.,1,2022-02-09,17.82388889,121.2677778,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00620472LZ,"Construction of Barren River (Upstream) Flood Control Structure, Sta. 39 + 693 - Sta. 39 + 893 (R/S), Brgy. Ili, Conner, Apayao",Construction of Flood Mitigation Structure,2022,22PB0004,15678924.68,15680000,2022-12-22,BAHRAMLEY CONSTRUCTION,1,2022-03-01,17.82388889,121.2677778,Kabugao,18.0215,121.1716
Luzon,Cordillera Administrative Region,Apayao,APAYAO (LEGISLATIVE DISTRICT),CONNER (APAYAO),Apayao 1st District Engineering Office,P00620136LZ,"Construction of Barren River (Downstream) Flood Control Structure, Sta. 39+033 - Sta. 39+693 (L/S), Brgy. Malama, Conner, Apayao",Construction of Flood Mitigation Structure,2022,22PB0010,51761907.66,51762600,2023-05-30,ASC CONSTRUCTION & CONCRETE PRODUCTS,1,2022-04-04,17.81833333,121.2686111,Kabugao,18.0215,121.1716
